element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
As,-3.8414202,6.114578,-4.9850836,0.73241264,-3.560079,2.0443616,2.811427,-0.86805165,10.08495,3.691703,-5.979814,-0.61904526,2.03975,0.77128315,-0.5278827,-2.8115323,0.4351465,0.4119494,-0.18418096,2.8032975,-5.487677,-1.5279173,-1.170152,0.17563489,4.1892624,3.8116357,-0.30379337,1.9112376,-2.5431488,0.7469173,2.2459905,1.6289251,2.4912217,4.966508,12.632791,4.8021293,6.2124896,-0.6253681,1.2230291,0.5275004,0.7438981,-7.199299,-6.9950614,2.8214884,1.4347742,0.7233401,4.2955174,-1.8729343,3.4934733,-2.0441484,1.9689729,-3.1271586,-0.8710414,-4.28395,0.77951634,-0.18331976,-1.1972202,-0.17835517,-0.8241291,-0.32961905,2.165654,5.0864153,3.3740826,1.2403269
Se,-1.1331056,2.4648798,-4.5261664,3.7774699,1.1130986,2.758254,2.0455964,-1.4169315,6.272823,4.478498,-3.585614,-1.6090925,0.7119739,2.5329893,-1.4663672,-2.9137676,-1.5378497,-2.144468,-1.5924661,0.7101642,-4.316962,-0.22847208,1.847248,1.7043167,7.4585543,3.2564435,0.65389097,2.0239596,-4.449168,3.9646435,2.2447476,2.3869917,0.669293,-0.24638702,12.816735,2.6369183,3.0882556,0.9218795,3.4790795,0.9482584,2.7580829,-6.217021,-10.555669,3.258708,-0.24394742,-0.71841115,-0.15659876,-1.3463017,0.26944107,-4.7605762,2.425067,-0.85454553,2.1987224,-6.0838637,1.6293337,-0.4498258,-7.6562004,-2.7561111,-1.7216396,-0.33719927,2.1797714,4.454607,2.782029,2.8538995
Br,0.16995312,0.68507975,0.2850206,2.650081,0.25954616,2.2536237,-0.58291876,-0.34934312,4.1589813,2.7414393,-4.8324404,-2.284499,-0.38621044,-1.8229845,-1.5285834,-1.7373544,-3.917132,-0.6400445,-1.935472,0.1731733,-2.8653238,-1.1587552,1.3484095,-0.07009743,6.918077,0.5766759,-2.7709627,1.124313,-6.2781825,5.4507737,1.5759127,0.2974242,3.3528266,1.0416659,11.174325,0.7979746,2.1498594,3.2338998,0.52330744,2.2958872,-1.2223562,-2.5688267,-7.799549,0.2732903,-0.10519015,-0.46441296,0.69957334,-5.5927224,1.3158356,-4.010969,-0.9656388,-1.5076523,2.6757941,-3.2731776,2.4348261,0.4401421,-3.280572,0.28098506,0.54880005,3.213269,1.2301587,4.9426517,3.185626,1.6722684
Kr,4.893412,-0.02594391,0.73111826,6.0692315,0.7823427,2.3330534,2.024731,0.5564559,3.5706666,-1.6437169,-7.949304,-3.7245228,-2.092196,1.860823,-0.21521743,1.5950018,1.422926,-1.6833824,1.5053353,-1.5001503,-1.6588727,-5.9916778,5.7802453,1.9557047,10.198356,-0.15338695,-2.0902731,5.034108,5.1806927,3.415775,0.45061007,2.4721577,5.5710716,0.5897785,9.05448,0.44148266,2.984441,-2.179925,2.6988146,3.3448799,-4.86361,-3.3786867,-4.8741703,7.1950088,-0.8292896,2.3731143,4.7617135,-0.17027652,-0.08709633,-6.1613007,2.252735,-6.674168,1.5322504,-3.7670405,6.058313,1.0186471,-2.4295156,-2.97631,-3.6917999,3.99035,4.0727754,10.933555,-2.751819,6.772098
Rb,4.0607204,-1.7139702,-3.4549127,2.4969168,-0.82577384,-0.37371016,2.3555112,0.84558976,9.173684,3.269086,-4.284736,-2.60935,-1.6249892,0.46933487,-3.5848858,1.119362,1.1628405,0.8318038,1.3741019,-9.293958,0.26203263,1.2837892,2.0484118,-0.031858783,10.879001,1.2533627,-4.347442,0.15373053,1.464477,2.0750608,4.7507806,0.1377399,0.37858135,-0.8895622,-2.893645,0.09052454,5.8952265,0.68508404,0.6662964,-2.1644497,-1.3079036,-3.0230334,-3.896153,0.44373128,3.1295059,3.5126932,2.8282769,5.0550046,5.037213,-3.3272908,1.3691816,-2.5556958,0.44335213,-4.276348,0.6854861,3.0550463,2.8149722,-2.4505904,-0.531087,-0.98879033,-0.057521015,0.7693816,-2.6442833,1.7981373
Sr,-1.4272058,-1.8036627,-2.5183444,1.4418497,1.6708162,0.7676509,0.11135379,1.4794534,5.8923817,2.2444603,-4.797078,-0.90768516,0.6939188,3.5427284,-2.2439585,-1.2611966,-0.1447859,-2.0223372,0.09651152,-8.928107,0.93103516,-0.65580547,-0.59643227,0.88627917,10.438785,4.442367,-1.87793,-0.22726677,-3.1224067,1.7084683,3.8890698,-1.1737375,1.5732406,-1.1519161,-2.2166743,-2.3440795,5.729691,-0.7213535,1.2901744,0.6945,-0.22734717,-3.8138442,-1.9148971,0.27878547,3.1246574,4.0969343,-0.05528148,6.3173923,0.3701486,-4.4865255,-0.69287723,-1.1048279,-1.4764094,-2.463889,1.0834466,2.9551468,0.70175505,1.9135717,-2.42852,-0.71998215,-0.61341304,1.1325035,-1.5805771,4.050047
Y,-2.0900686,1.0702195,-1.2860755,1.4099874,0.081345364,0.7076928,0.72334874,0.31676033,6.912384,2.5762703,-5.256292,3.6485775,-0.92013544,4.493364,-1.7406204,-0.996546,-0.085101984,-4.499931,-0.6034408,-5.1997647,0.6451891,-0.560106,-2.3625357,1.1615539,6.8451176,3.6745553,-0.4325231,-0.8638219,-7.3347473,3.1117022,0.7687587,-1.1730195,-1.5456231,-4.269822,-3.9832902,-4.560242,9.337784,0.107984066,0.64790857,0.92425793,1.8697996,-3.8877218,1.0392312,-2.7999258,-0.13263953,2.4120338,2.6523929,-1.6532215,1.1457759,-0.92590785,-1.0341761,-0.113676615,-0.33440584,-4.479667,4.189947,1.6344259,2.179261,1.4251086,-3.60345,0.6507577,-1.572725,3.6886802,-1.1798079,-0.62729275
Zr,-3.1992197,-0.21411912,-4.73768,1.6285728,-0.44894674,-0.02871283,2.853723,0.11397572,4.961097,3.5333717,-5.415964,3.3531835,-2.732636,1.2876148,1.5337563,0.21885966,0.07905018,-3.6055446,-1.5356188,-3.5285172,1.250719,-1.0663791,-2.364892,-3.143204,6.901426,1.9754872,1.383963,-1.6159487,-9.620369,-1.2110798,0.18175535,-0.8317086,-1.1918838,-2.6423233,-2.996963,-2.8349605,8.275954,-0.76452094,-3.758068,-1.5333707,2.1621995,0.02686682,-0.6952084,-1.7403419,-2.1460435,3.00819,0.55449903,0.76973367,1.9559513,-0.43178073,-0.28861576,1.2049912,-3.4681997,-3.8863266,4.9639053,1.6372138,0.857489,2.1571078,0.24673033,1.8952693,-0.96070445,5.671433,-0.6577529,0.45931768
Nb,-4.404538,-1.0431669,-3.4288313,3.2580957,-1.700695,-1.049134,3.7181966,-2.1258183,4.237698,0.2723299,-6.308024,1.6615282,-6.6235394,2.4429715,-0.50049007,0.41286248,2.6110952,-3.2030377,-5.546169,-1.8887112,-2.2851205,-2.2504976,-2.6388948,-2.2857869,9.353947,-0.06190491,-1.8719338,-4.495568,-8.604704,0.021155749,0.28494617,0.9706138,0.654241,2.1786726,-2.0460382,-0.46878278,4.017904,-1.4238831,-3.7236722,-1.481776,-0.3331563,-4.306848,-5.8642097,1.9191889,-2.7923977,2.6721354,0.8720047,3.5798268,0.6808129,1.9031198,0.31611282,4.5910935,-2.7727678,-4.282347,3.2121813,3.0111685,-2.3993614,0.6318133,-0.41840696,4.9183497,-1.172474,2.9775975,1.216818,1.1183958
Mo,-1.4789935,-0.53989804,-2.4766486,1.6969748,-2.713966,-2.9973931,2.5231428,-0.745476,7.850603,0.13569103,-8.127074,-0.0030070392,-6.4975376,1.277836,-0.97777617,-0.2201133,0.35879257,-2.7442129,0.472907,1.1674857,-2.4217248,-0.23810917,-3.7590506,-2.757063,5.2656555,2.5312405,-0.28403112,-0.19808713,-3.51279,-0.6283405,2.7124474,-2.7893925,3.7316206,2.5001972,1.9778913,-1.6785934,0.3287342,2.2417786,0.16964233,-3.9542885,2.0437305,-3.6059933,-9.343066,2.6854022,-2.482426,-0.25188392,3.8834958,1.0584853,3.0995226,-2.5526624,2.9431753,4.6761913,-3.506458,-2.0755813,1.9753141,-1.4993132,-1.8470651,-1.9087061,-0.7892277,0.3201965,-0.18592766,2.104327,-1.7212509,0.3291507
Tc,-3.1792686,5.3168125,-2.536674,1.6882514,-3.4287,-1.7555668,-0.3092724,-5.4906936,9.123937,3.5548308,-12.866092,-3.117462,-3.2844086,1.0490369,0.06369345,0.008558264,-5.022042,-1.6953058,1.6133407,-0.3547387,-4.3820653,-6.1056128,-1.7920998,-2.0942762,7.608381,0.1736342,-0.34275064,0.642871,-2.5184126,5.8007727,1.4090835,1.4266727,2.501536,3.7262387,-3.8362443,0.34645513,-1.4674729,1.8433368,1.9748071,1.4134171,7.852523,1.3512665,-3.4149258,1.1646991,-1.2370456,3.8355837,2.1892457,-2.1796458,0.74671304,-1.0904273,4.423032,2.74895,-2.3648024,5.3422117,0.027933842,-1.6770718,-1.6266861,-1.5319088,0.28674918,-2.7257445,2.8968706,1.8809382,-0.20555852,-2.0132222
Ru,-1.1625131,3.9823196,-4.6234355,2.4180367,-5.365811,1.6219012,1.9561664,-3.1263297,5.845657,-0.005449655,-8.579478,-4.1258826,-6.379772,3.1652915,-3.7458224,-0.7003187,-5.2692103,-1.3143066,-1.4804816,-1.976398,-0.84556395,-7.660003,2.4282947,1.8396025,6.6570406,0.50765944,-0.4262229,3.0743682,0.9824707,3.1358025,0.9746807,0.18163885,5.5394306,3.075725,6.781717,0.25173026,-2.3607767,-0.2666137,0.56763595,-0.48649737,0.8925395,-2.9362862,-4.2667723,4.631563,-2.769617,0.68827564,5.5433,-6.3584733,1.5152975,-4.8350925,1.2177241,3.4727447,-0.2855747,0.22694254,1.5330299,1.8992288,-1.6790094,0.7070953,-5.894598,-2.095549,1.1982495,4.5977464,2.3683503,2.7865784
Rh,-1.9201661,0.4534127,-5.4812384,1.411446,-1.696425,2.229901,2.5678196,-3.2713253,6.422541,-0.09410618,-8.040388,-2.375384,-4.7177367,3.908309,0.42146388,-4.2081804,-2.443993,0.41306233,-0.22671618,-3.6351745,-0.9127436,-8.401294,3.4560075,1.2945958,6.882743,-2.9812033,-3.5708017,-1.4776698,0.77698636,3.8885658,0.094947904,-0.92917764,4.736705,4.821539,8.8398695,1.9960264,-4.6814723,-0.32118037,1.8111578,-0.63305396,-0.00045138257,-4.3410635,-9.13937,5.4467382,-1.2488476,-1.962143,3.8246925,-7.057416,4.234551,-4.6371965,-0.19126776,0.054080885,1.0351342,1.536259,4.7559237,1.3675618,-3.4109333,-1.0458418,-2.4330955,-2.3077908,2.08922,3.7398329,2.2928846,1.244332
Pd,-0.32580176,0.22131719,-3.4048538,3.1788523,-1.119299,2.0264184,-0.2766558,-4.5796723,7.0027604,-1.1762934,-7.887648,-2.483243,-8.182085,0.1596102,-0.56046176,-3.2268066,-3.2004056,-0.74933815,-2.2362785,-2.388421,-2.1761196,-4.766472,3.1000717,-0.98611057,6.8071923,-3.0428717,-3.353695,-1.7859683,1.8512561,1.1995869,2.344236,-1.1254407,5.044817,5.0952024,11.998218,-0.29106978,-3.3545966,-1.9738454,-0.042972263,1.4409417,0.052684087,-7.4918933,-6.288225,4.550782,0.7411884,-0.052666206,1.122661,-5.9823246,6.3007407,-3.7262175,-3.111708,-2.2296307,1.2377582,-0.038118776,6.509066,1.2541279,-3.7510452,-0.09132067,-5.1120405,-3.223038,2.1171134,4.2652946,0.48087072,0.7313439
Ag,2.1705542,0.6864925,-7.0984006,2.6035783,-1.0522238,0.26233074,1.5550414,-3.6363475,7.793404,2.608691,-9.319244,-0.29943046,-1.0655822,-2.2455835,0.0771901,-2.1912246,0.40265307,3.8116357,0.80696255,-5.95357,-4.597176,-3.6490402,3.1718886,-1.2134638,6.4445367,-0.6755795,-4.9172125,-2.3080041,4.7402577,2.5488765,0.7264018,-1.5526572,3.850737,3.9329069,8.883398,-1.4052323,-1.5187043,-0.23877475,2.0376542,2.2048993,-3.0274887,-5.4801683,-0.9815291,2.7596118,-4.3082094,1.8118244,-1.2088524,-2.0792108,5.475441,0.034704905,-1.2817266,-2.6132615,-3.8892822,-2.5139067,8.50056,-2.0845404,-2.7369695,-2.8830228,-5.157787,-5.8838153,-0.089875154,7.1432104,-0.74391556,1.0045574
Cd,-1.1944185,-0.31066144,-4.5948524,3.5313966,-0.40462252,0.5384755,1.2569909,-2.3222077,11.48685,-1.5043383,-5.7318583,3.633141,-1.602983,2.3536372,-2.0789847,3.1985493,-0.25040236,0.29135492,0.9690261,-4.400168,2.1291673,-3.5424745,-0.978971,1.2770903,7.478262,-0.288735,0.8337,2.9384234,-0.9016823,5.305319,5.518327,-1.7404113,3.6385791,2.6891165,7.425854,1.4970642,-0.40258098,-0.9454877,5.4873257,-1.2426187,-2.3412097,-4.9861174,1.459217,3.0120041,-0.0021970882,2.1325219,-1.648361,0.1690475,5.5910983,-0.953429,-1.7319908,-1.4417444,-3.2979114,0.08926438,5.1558495,0.30436411,-4.183232,1.395772,-1.732141,-1.9108692,1.8016775,2.9092815,-2.5034225,0.71041894
In,-2.6331286,0.44161594,-0.9943085,3.3783011,-0.27539134,1.9682177,1.3898951,-0.24641797,10.84429,2.2840173,-3.8899019,2.1511676,-1.6653463,1.986652,-1.211476,3.8056068,-0.054983642,-1.0546632,1.8643708,-1.2874542,0.36530226,-3.754312,-1.4733906,3.4524033,4.146093,-2.9377997,2.5428467,1.6000634,-4.4080825,4.092558,3.4373422,-2.5533297,0.6971646,2.6440604,9.068074,0.34560442,2.5505178,-1.2986306,1.1818608,-1.1563798,-1.9775897,-2.2147746,-1.3344103,2.0027547,-0.0926747,-0.25387788,-0.8062329,0.23315613,3.6232295,-2.540387,-0.59695536,-1.4504654,-0.87134576,-3.939713,3.574568,2.4558246,-3.1142368,-1.2005255,-4.839404,-1.1697917,0.1289801,5.16331,-4.443659,1.0245036
Sn,-1.9509087,-1.7960684,0.39374748,4.270463,0.0921122,3.3335128,0.19693479,0.8384111,10.530991,2.9401255,-4.558594,0.8656458,-1.3696344,1.7853267,-1.1721283,0.14761375,1.2891872,-0.06933792,1.2114552,-0.54183954,-4.393814,-3.0523276,0.23022702,4.8088765,2.7045636,0.27032676,1.2236993,-0.6207234,-6.357908,-0.8447004,0.4489775,-2.6568983,1.4867625,3.1025863,10.143241,-2.1115556,4.6918545,0.28790903,-1.8828264,-0.34430405,-0.54140174,-0.6556991,-5.758516,0.4139708,1.7690264,-0.83500725,-0.31260502,-0.22140859,4.230009,-0.560377,0.79441416,-0.81190085,-1.0921614,-3.8345714,2.7098734,2.6850264,-2.6763372,-0.017327692,-4.409907,-0.62339795,-2.8868167,3.6153226,-4.7326427,2.0353756
Sb,-2.964413,0.5130426,-0.36680725,6.169147,-1.3559262,4.536147,-0.08754001,-0.421156,10.127615,3.7890244,-5.132505,-1.6482223,-1.1613108,1.9028579,0.61467093,0.2647302,1.8278793,3.1194677,-0.13761805,0.29377982,-2.9636903,-1.9897182,0.32111534,-0.7653826,5.3947425,1.6988459,1.2980917,1.9306142,-5.4567337,-0.23915273,1.8166049,-1.267508,1.7775837,4.333587,10.250955,-0.6450855,1.1852719,1.8730035,-1.1067852,1.2833757,1.0458455,-3.957326,-6.2883277,3.8221846,1.8783581,0.93128103,2.7418818,0.6874658,5.908368,-1.3203968,2.2807367,-1.7914902,0.94759136,-4.0110955,-0.052248687,-1.9479922,-3.5594835,1.8682553,-4.9763265,-0.84596634,-0.49448752,6.006797,0.6890464,0.7191486
Te,-2.4040635,3.0373833,-3.2272413,5.3638678,-0.84125787,3.3591294,-0.8940699,-2.1686401,6.1527686,1.6644622,-5.04353,-3.2388349,2.2216282,2.4379687,0.25089058,0.18096602,0.5931596,1.1892835,-1.197933,-1.7894309,-1.7741283,-1.7111496,1.7794225,0.7796322,7.5369153,3.3544545,-0.05290882,0.9637952,-11.796204,3.142472,1.7149457,-0.8280012,-0.5099657,3.8742216,11.645308,-0.4089699,-1.1041136,0.50520486,0.41800308,0.8116669,-0.8989231,-7.3819594,-9.819524,3.995291,0.18796445,1.7170488,2.2925537,1.4859236,3.7231336,-2.1917312,6.082623,-0.7742618,2.3334308,-5.3276668,3.779519,-2.3926442,-3.851437,-1.7528436,-2.5079932,-0.7450869,3.5103064,4.8476014,1.4519114,1.0792962
I,-2.2701225,2.074102,4.0226417,3.0392668,-0.704362,2.2996807,0.36572984,-2.1575813,3.0301318,4.338019,-5.2581315,-2.442618,-0.6092597,0.7572783,0.045408066,-1.5745643,-3.5306401,0.576606,-2.9533858,-0.6172192,-2.4752064,-2.7764084,1.0814579,-0.99887407,8.265772,2.7843919,-1.7571574,0.6079501,-9.878882,4.818991,2.7263596,-2.6798618,-0.3971163,3.1166286,10.311899,-1.0919837,-0.41286835,2.0752647,-0.29375488,-0.65561515,-1.4165833,-0.81595796,-10.770187,1.5257325,0.4152008,3.5832324,0.17016615,-2.451733,2.3968453,-5.217187,0.43144408,-2.8570096,2.2643073,-3.678092,2.2430432,-1.9714769,-3.9098756,-0.8758263,-1.9246851,0.7970743,0.8606386,3.616776,0.041817397,0.9258642
Xe,0.23431635,5.117649,0.06439507,3.9833975,1.3348624,-4.8793635,-0.78586787,-3.5612519,1.9176834,0.45370865,-3.7952495,-12.493626,4.412036,-6.470356,-2.9303257,-5.2647257,2.6829782,7.3650527,5.773369,-4.751189,-6.0917706,-7.3720474,4.6714277,-4.6477103,7.882704,-1.7452866,-2.2890525,2.2760365,-6.679708,1.1597807,2.5365274,-7.3603415,5.523823,8.634583,-2.5257537,-2.6472533,-7.003281,1.2979056,1.0007571,-2.7992616,-2.4953468,-1.8015785,-9.886619,7.9972086,-4.0120926,-4.839047,4.444794,7.4562435,3.0879877,-3.5618265,0.25117147,2.8142266,5.2871284,1.0989248,-7.6756263,-3.6595378,-13.300995,-3.6557074,-2.739976,-1.0445129,3.1081288,9.151657,0.51097715,-2.987566
Cs,4.8882756,0.7219988,-3.8396647,1.7746842,1.5066401,1.7648711,1.2726365,1.3699741,8.656605,2.3758552,-2.7024424,-4.5649843,-3.437513,0.79301196,-2.6632204,2.7212627,2.861133,2.4770179,-0.42554268,-5.9438767,2.0001214,2.4248772,2.1303055,0.43288144,11.234454,1.0215288,-5.3978453,-0.6364419,1.4320757,2.1413856,5.932761,-1.9662493,0.24988703,1.232118,-1.7070459,-0.83599144,6.542691,1.8918996,-2.0264595,-4.509044,0.5732729,-2.9636152,-5.211002,2.528128,1.2171421,5.5840664,4.1075993,4.6670523,5.1223946,-2.3176126,-0.15261859,-2.295953,-2.4216542,-3.960188,-0.40856025,2.8434577,1.73545,-3.8177235,0.67204183,1.7449424,1.1183954,0.7299836,-2.6572585,1.1383944
Ba,-1.0704181,0.77452326,-2.626418,1.0767585,1.4775563,2.000176,-0.81180155,0.9731442,6.522941,2.2839477,-2.595541,-3.5356467,-2.546691,2.7774007,-3.004959,0.7426348,1.3203886,0.9587832,0.32136294,-6.3974113,3.742111,0.8438854,1.054936,0.39385387,9.540664,4.057345,-3.6773021,-0.6651177,-2.4814262,3.8673139,4.705854,-2.5751703,0.68482304,-0.73114294,-2.536369,-1.348215,6.5455656,0.32547915,-1.6038561,0.8749968,1.9111778,-4.2589297,-4.424772,0.54908603,1.7814022,5.0338097,1.3010542,3.9165597,2.3611484,-3.8794246,-1.9755903,-0.95260894,-1.2232028,-3.1832,2.2406545,5.0298915,1.9329304,-0.9051756,-1.3464979,-1.5064498,-0.59936833,0.16066016,-2.193011,2.4904814
La,-0.8667023,0.9219464,-1.9571681,1.7410833,0.20115031,1.9008887,0.832537,0.4925633,5.446072,0.2381189,-3.3802536,1.0734261,-1.1990895,4.629612,-3.5903957,-0.26381433,3.208529,-3.5161982,-1.0318652,-5.750225,2.4022644,-0.522787,-2.569965,1.0070598,7.587444,5.692703,-0.72402406,-2.8669739,-5.71231,3.0230944,2.7986557,-4.363973,-1.8102607,-0.5582924,-2.7167103,-0.053316973,12.4667015,-0.6618075,0.28834736,0.49995744,3.588638,-3.3211694,-2.248496,-2.2811403,1.7000493,3.5171697,1.1869447,-0.15739748,1.3238535,-1.8521562,-2.8886812,0.47390237,-3.9757817,-5.1116443,2.9724314,1.251811,2.4355068,1.2971442,-0.7721689,1.7125647,-0.5165803,2.7277548,-1.5716625,0.73592025
Ce,-2.122865,1.0578574,-2.9904327,-1.1888599,0.19460028,1.5876333,1.2495111,-0.789318,5.206682,-1.6387275,-4.7544923,0.49954754,-5.887686,2.2737923,-1.3377687,-0.029740233,1.7251815,-3.1082463,-2.8591413,-5.0236464,0.508578,-0.68024147,-5.1171203,5.2960567,7.874609,5.6213017,-1.0208786,-4.616688,-9.573213,0.60834527,2.4296956,-3.784828,-2.2017314,2.2167206,-3.8361447,1.1115805,14.305169,0.625673,-1.1769981,-1.607133,3.7550933,-2.9982357,-3.0822182,-4.138367,-1.2155973,2.1398432,2.6995175,-3.0262675,-2.512915,0.0070157605,-1.6853464,0.1833418,-0.3157149,-6.9683857,5.243634,-1.565545,1.9582947,2.8718388,-2.128221,-2.3478458,0.14043322,-1.1677341,-2.8361285,2.1630235
Pr,-2.8328798,-0.15292987,-2.6697001,3.2145987,0.2570279,-0.15039912,0.6660481,-1.2302417,6.3104715,2.353862,-4.413935,2.3064387,-1.9140435,4.4321437,-3.7184346,-0.10636796,3.6596377,-2.688564,-1.2862813,-8.168433,1.5849187,-0.49674788,-2.622375,0.6760985,6.931949,3.5290785,-0.5238656,-3.2194755,-7.3536954,2.59925,2.72842,-2.7486649,-2.5612514,-1.485468,-2.4211352,-2.5675294,9.87381,-0.66814727,0.9154461,1.5811086,2.7845507,-3.4141607,-0.27670383,-1.5878676,1.2047741,4.9656796,2.5258477,-0.60625124,1.1037272,-0.42575958,-2.6560302,-0.51238626,-1.8616729,-5.578447,4.558014,0.93425757,4.270596,2.266262,0.24227451,-0.6043983,0.08852624,1.6633879,-2.1871593,0.7375982
Nd,-2.3409133,-0.054492578,-3.0180373,3.0808053,0.37870657,0.21985446,0.6622259,-1.1260736,5.82128,2.3303993,-4.350972,2.6506577,-2.009612,4.607579,-3.7931876,-0.5384398,3.6905215,-4.236321,-1.63193,-7.5785065,0.94294345,-0.4082238,-1.9925927,0.41365346,7.2840676,3.5234582,0.2846947,-2.6149533,-7.6797705,2.423271,2.3509572,-2.7793078,-1.7820901,-2.4268203,-2.3946497,-2.7193382,9.281805,-0.1792502,0.47419634,1.5193548,2.9336057,-4.1894026,-0.63547075,-1.6081402,0.5002387,4.23249,2.6467435,-0.66578186,1.2846408,-0.46525884,-3.214976,0.007598096,-2.1430156,-5.0220833,4.6333346,1.4397677,3.1901333,2.2161665,-0.4831152,0.15363982,0.20540962,1.6769676,-1.3890071,0.9898047
Pm,-1.069583,0.09842622,-0.91912776,2.7516148,-0.6793824,-0.83400506,-0.53526354,-0.14135146,7.559916,3.3538206,-4.5695257,4.0618024,-2.6644914,4.7673883,-2.6548307,-0.9892356,1.9687707,-2.0419326,-1.5682609,-7.046348,0.5100549,-0.10292265,-1.0148273,0.6956411,5.9399233,4.3885155,1.9930085,-0.09719287,-5.374311,3.3240244,2.3041213,-3.0973184,-4.7406473,-1.6259247,-3.3566272,-2.8928974,9.880954,0.35008848,1.5752352,2.3803194,4.6066003,-1.1521208,1.5569375,-4.7319884,0.3160281,5.087113,1.0859221,-5.091721,1.9447932,1.2753016,-4.5748453,0.5088209,0.063442245,-3.3398912,6.3450446,1.5722606,3.6552434,3.3964276,-1.6063256,-1.604827,-0.26343754,1.844066,-0.24761567,0.30693194
Sm,-2.8441756,0.14660808,-3.0681589,2.223531,0.35908258,0.049244266,0.80258274,-0.21098298,4.9031534,1.7206676,-4.277812,2.9148846,-1.3787916,5.489175,-3.739321,-0.406695,3.090798,-4.7393174,-1.5403732,-7.0106087,1.0834928,-0.17048761,-2.077506,0.6154791,6.655613,4.0850058,0.58782816,-1.713559,-7.9965487,2.4058778,2.46239,-2.1346493,-1.7634647,-3.1162143,-1.2810742,-2.8552127,9.938946,-0.12987435,0.03633786,0.49740073,3.144139,-4.259571,0.39842752,-1.7804261,0.10463374,5.0120645,1.1940727,-0.4151162,0.34850717,-0.6707912,-3.348184,-0.36069265,-3.007507,-6.072937,4.2861876,1.1559838,3.132175,2.485662,-1.7161621,0.5317822,-0.36742997,2.45805,-1.0173192,0.6756695
Eu,-1.3687037,2.3517475,-0.6530066,-0.14434487,-1.1133249,0.90900517,9.637495,3.3948991,7.347276,-1.4370519,-2.519393,0.85862714,-0.83860606,0.45055446,-2.3871746,2.5485036,-0.9065195,-0.76637626,-3.0510242,-7.2531486,2.749753,1.5881835,0.7563709,10.114668,15.027954,6.0547867,-3.6375391,-1.4007194,-10.543959,-0.60473317,4.4712954,0.82536244,2.940059,2.1146722,-2.2957578,-5.5180697,8.446807,1.9559662,1.6162928,5.3942056,9.721901,-3.7231257,-1.6899283,-0.7574144,-3.1017706,2.3325682,-0.9318358,-0.7502497,-0.25492537,1.887474,-0.8686929,-3.2878907,1.8865927,-1.1744603,4.3338017,1.4434011,5.5168056,1.4019506,-6.10618,-0.6263015,1.6730425,1.0017673,1.3628013,0.9051897
Gd,-4.7125325,0.22663175,-7.65766,3.2060232,1.8198481,0.32208902,-10.0850725,-1.0619489,8.4883175,2.6989837,-5.771373,-0.75319266,-2.2560925,8.221663,-4.3581915,-3.6302125,3.3997266,-7.4695277,-3.190885,-4.415049,-0.44611207,-1.8094909,-3.7304502,-4.9236465,2.836819,6.5563335,0.12181234,-1.2719619,-6.147588,3.2145858,-0.03287182,-7.7750793,-4.678635,-2.7373362,-7.3767543,-1.5145243,11.844202,-4.738334,-3.704544,-5.225857,-2.354015,-6.749923,0.63992256,-2.1389081,3.5897665,4.3614335,1.3357995,-2.8432462,-1.1081796,-5.6829376,-2.1143546,0.41976133,-5.672882,-8.850141,0.27467093,1.4880252,-1.0993407,3.43744,-1.0981655,3.0211623,-3.6108282,3.0484698,-3.1451054,-0.8999297
Tb,-2.8300993,0.07634266,-3.7391458,1.6803204,-0.61804193,0.25085312,1.5855775,-0.34782282,6.0683155,2.271514,-4.3602033,3.451913,-1.8263121,5.5157804,-2.863336,-0.3556786,1.2863389,-3.9335008,-1.1208147,-5.069951,0.85927296,0.3012643,-1.7223475,-0.25847712,6.2938986,4.518436,1.073462,-0.89003485,-8.927943,2.1162007,1.9987627,-0.099838056,-1.0500371,-4.160226,-2.2695515,-3.3099487,9.111674,0.6743799,0.27148342,0.51476955,2.1568055,-4.713636,1.4120817,-2.0002632,-0.6206089,3.578,1.93117,-1.7667621,-0.03615021,-1.5264032,-2.93991,-0.2469133,-0.64764595,-6.218918,4.3080096,1.6207916,2.9478016,2.5433354,-3.027179,0.9104865,-0.764506,3.3905518,-0.9332252,0.084917724
Dy,-2.6589072,0.009767428,-3.5005434,1.5418884,-0.42816103,0.3183312,1.5824491,-0.15336917,5.8086333,2.0276172,-4.6809874,3.1317928,-1.6773547,5.599086,-3.126926,-0.15879293,0.7445703,-5.1544476,-1.1058161,-4.916487,0.52078843,0.068857126,-1.5201463,0.3284177,6.3634295,4.0445967,1.0885152,-1.0307099,-8.488269,1.8936161,2.1649792,0.4608302,-0.5348426,-4.616964,-2.0808554,-3.4450455,9.54773,0.6061645,-0.013891491,0.33031404,2.3262682,-5.144531,0.7256971,-2.1188374,-0.011846696,3.2364428,1.9934187,-0.70734215,0.19154872,-1.9664441,-3.081321,-0.66098374,-0.83144355,-6.159577,4.1252446,1.4934652,1.8997498,2.1608944,-3.2919195,1.0564824,-0.9455878,3.2017388,-0.6217701,-0.12257607
