element,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
Hg,80,157,229,14.8,200.592,629.73,25,268,132,133,142,114.77421021108783,150,13.546,33.91,2,2.2256767429313045,10.44,0.1689999999999999,1.9,10.4375,2.295,0,-0.250105562,3.695665057,4.656246199,0,25.23758621,5500,3100,0.14,27.983,23.82,58.5,61.38,2.99,74,234.28,14.09,0,26,0,10,0,14,0,0,0,2,6,0.138,8.3,223,245,253,270.5,1407,5.02
Tl,81,171,242,17.2,204.38,1730,43,509,145,144,142,150,190,11.85,51.7,1.62,0.377,12.640390033061689,0.173447,1.8,6.108194,4.142,0,-2.27267753,3.775558738,4.756905929,0,26.91,6500,6500,0.129,26.32,28.53,162.4,182.2,3.46,78,576.6,17.22,5,27,0,10,0,14,5,1,0,2,6,0.128,46,196,247,259,434.7,818,7.6
Pb,82,175,249,18.3,207.2,2013,46,534,146,144,135,137,143.46626849657218,11.35,47.1,2.33,0.35674316,10.97,0.177911,1.8,7.41663,4.774,0,-3.62902961,3.830865877,4.826588558,0,28.11,2700,1800,0.13,24.7,30.32,177.8,195.2,4.95,82,600.65,18.26,4,28,0,10,0,14,4,2,0,2,6,0.159,35,202,260,274,429.7,1260,6.98
Bi,83,170,250,21.3,208.9804,1883,31,513,148,151,141,135,160,9.747,50,2.02,0.942362,11.9,0.182377,1.9,7.2855,11.106,0,-3.9736944,4.039197959,5.089070533,0,32.95,5300,6000,0.122,25.52,35.38,172,209.6,4.75,87,544.5,21.31,3,29,0,10,0,14,3,3,0,2,6,0.124,8,207,254,266,437,1790,7.4
Po,84,176,250,22.7,209,1235,75.79360663772891,424,140,145,135,129,190,9.32,46,2,1.9,13,0.186842,2,8.414,10,0,-4.039348349,4.2628217180000005,5.370818814,0,38.73125,4272.8847625248745,3871.1807734344734,1.5100478221077878,27.06603795297699,37.38,102.9,214.7722146522903,3.35,91,527,22.97,2,30,0,10,0,14,2,4,0,2,6,0.125,20,197,214.2720439,259,470.9,3106.8520082312248,6.8
At,85,147.66493308192835,247,20.93191635,210,610,63.40060618146543,351,150,147,138,138,128.37076708006816,6.052295854647455,43,2.22,2.8,14.1,0.19131,2.2,11.146514808330748,11.053309314762744,0,-4.039348349,4.2628217180000005,5.370818814,0,38.73125,4650.134553398682,3891.224606,1.9408481881021475,28.099651043050503,39.49,63.476487683675536,175.03449727028362,4.945939271355963,96,575,19.275340383131063,1,31,0,10,0,14,1,5,0,2,6,0.9682251935002202,2,202,203.0523628,251,475,3852.278359010672,6
Rn,86,150.17554663324086,243,22.895519852322828,222,211.4,56.49968798222711,408,150,142,145,133,135.15418360324577,4.4,33.18,2.43,1.929331299518276,15.4,0.195772,2.043894281034416,10.7485,7.728805587905447,0,-4.039348349,4.2628217180000005,5.370818814,0,38.73125,3952.462218900385,3551.1338784876725,0.094,20.786,41.71,18.1,119.78468086302148,4.960327852362658,6,202,50.5,0,32,0,10,0,14,0,6,0,2,6,0.094,0.00361,220,240,243,476.5,2710.612715,5.3
Fr,87,174.67381091025368,258,29.45258293,223,950,72.52774081,1953.8697729113464,260,223,218,133.37635277162985,165.39862497314596,5.4737977422451936,311.5,0.71,0.486,9.523200702,0.08731,0.7,4.0727410000000015,7.297893185125186,0,-4.039348349,4.2628217180000005,5.370818814,0,38.73125,5016.385914847841,3155.9720118300065,1.4433292758816154,31.20169117254789,79.69,55.17810083,142.9444811480133,5.319359140204623,7,300,30.61743959697888,1,1,0,0,0,0,0,0,1,1,7,0.8644909270030874,69.93748068864515,348,247.96004417539825,364,490,2864.360861,48.6
Ra,88,170.25536006259154,292,45,226,1413,80.25391693552058,1959.613051029805,221,201,173,159,215,5.5,242.8,0.92,0.1,10.311502720091198,0.09789,0.9,5.278423,7.7,0,-4.039348349,4.2628217180000005,5.370818814,0,38.73125,4798.615715798005,3678.2198103718592,1.4188245896488405,26.96763440871296,68.22,113,159,4.8936975663750495,13,973,41.09,0,2,0,0,0,0,0,0,0,2,7,0.12,19,283,248.93342659570223,327,367.7,4596.620587214259,38.3
Ac,89,188,293,22.54,227,3470,109.79929913724352,2178.5907387106868,215,186,153,140,195,9.756749057607085,217,1.09,0.35,8.039883612,0.10033,1.1,5.17,12,0,-4.105002298,4.465163104,5.625752986,0,44.5125,6777.447303608536,4454.3839340231925,0.12,27.2,37.45,292.9,406,5.31,48,1320,22.55,9,3,9,1,0,0,0,0,0,2,7,0.7167260311372583,12,247,280,308,347.8,3633.6429533514142,32.1
Th,90,180,289,19.8,232.0377,5060,54,2513.278129411477,206,175,143,136,180,11.78,217,1.32,2.918971078,5.619315078592641,0.10277,1.3,6.3067,13.81,0,-7.41254306,4.015357627,5.059033597,0,32.37,7607.018786583178,4738.331772,0.118,27.32,32.86,513.7,602,5.08,47,2028,19.8,8,4,8,2,0,0,0,0,0,2,7,0.113,54,245,293,274,339.6,2490,32.1
Pa,91,161,285,15,231.03588,4300,145.39968415729626,2039.2993260116327,200,169,138,129,180,15.37,171,1.54,2.8854561436672483,6.557193021169397,0.12149,1.5,5.89,12.34,0,-9.49741247,3.692852039,4.652702018,0,25.18,5931.480789984743,4534.898530950532,1.345172425630971,23.74970846059329,24.94,481.2,563,3.92,46,2113,15.18,21,5,9,1,12,2,0,0,0,2,7,0.121,47,243,288,264,342.4,5621.547555197077,25.4
U,92,138,283,12.5,238.02891,4018,100,2491.2925796833915,196,170,134,118,175,19.05,137,1.38,3.1122827864312685,5.594914253258307,0.13207,1.7,6.1941,9.14,0,-11.29233996,3.42137628,4.310663995,0,20.025,8060.265334376807,4021.325326531181,0.116,27.665,21.18,417,533,2.85,45,1405.5,12.49,20,6,9,1,11,3,0,0,0,2,7,0.115,27,241,271,252,339.5,3155,24.9
Np,93,130,280,21.1,237,4175,124.10171437499952,2398.576467126777,190,171,136,116,175,20.25,167,1.36,3.3806706089890177,6.515828492467341,0.14265,1.3,6.2657,3.2,0,-12.94031436,3.329442683,4.194834921,0,18.45375,7658.348670665212,4222.775527100202,1.5253004652649702,26.765374201505807,19.22,336,464.8,4.72,44,913,11.59,19,7,9,1,10,4,0,0,0,2,7,0.5433882247927018,6,239,282,252,342.4,2999.089591906873,24.8
Pu,94,151,278,21.156594145943878,244,3505,90.47093767858264,2294.423314692323,187,172,135,135.25165046603215,175,19.84,165,1.28,2.841452898837058,6.637731448040938,0.16137,1.3,6.026,2.824,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,7747.714809,4069.620140952939,0.9880769883438824,27.86135997993675,20.04,343.5,345,4.221422036325316,43,914,12.29,8,8,0,0,8,6,0,0,0,2,7,0.6460768544404771,6,243,281,252,342.4,2260,24.5
